title,stars
Better Call Saul,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
Cyberpunk: Edgerunners,"Zach Aguilar, Kenichiro Ohashi, Emi Lo, Aoi Yûki"
Grey's Anatomy,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers"
The Accidental Narco,"Ha Jung-woo, Hwang Jung-min, Park Hae-soo, Woo-jin Jo"
Ozark,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"
Suits,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
Seinfeld,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
Partner Track,"Arden Cho, Alexandra Turshen, Bradley Gibson, Dominic Sherwood"
Brooklyn Nine-Nine,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
Attack on Titan,"Josh Grelle, Yûki Kaji, Yui Ishikawa, Marina Inoue"
Manifest,"Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise"
Locke & Key,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott"
Day Shift,"J.J. Perry, Jamie Foxx, Dave Franco, Natasha Liu Bordizzo, Meagan Good"
Sex Education,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey"
The Lord of the Rings: The Return of the King,"Peter Jackson, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
The Vampire Diaries,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham"
Family Guy,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis"
Fargo,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
Animal Kingdom,"Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole"
Diario de un Gigoló,"Jesús Castro, Victoria White, Fabiola Campomanes, Francisco Denis"
How I Met Your Mother,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
Community,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
Daredevil,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
Blue Bloods,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"
Bee and PuppyCat,"Allyn Rachel, Alexander James Rodriguez, Kent Osborne, Ashly Burch"
Loving Adults,"Barbara Topsøe-Rothenborg, Dar Salim, Sonja Richter, Sus Wilkins, Morten Burian"
Schitt's Creek,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy"
Sing 2,"Garth Jennings, Christophe Lourdelet, Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly"
RRR,"S.S. Rajamouli, N.T. Rama Rao Jr., Ram Charan Teja, Ajay Devgn, Alia Bhatt"
Arcane,"Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas"
The Lord of the Rings: The Two Towers,"Peter Jackson, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
All Quiet on the Western Front,"Edward Berger, Daniel Brühl, Albrecht Schuch, Sebastian Hülk, Anton von Lucke"
American Psycho,"Mary Harron, Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
The Hobbit: An Unexpected Journey,"Peter Jackson, Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis"
Kleo,"Jella Haase, Dimitrij Schaad, Julius Feldmeier, Vincent Redetzki"
Sons of Anarchy,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
Mad Men,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
Archer,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell"
Dahmer - Monster: The Jeffrey Dahmer Story,"Evan Peters, Richard Jenkins, Molly Ringwald, Niecy Nash"
Mr. Robot,"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström"
That '70s Show,"Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson"
You,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail"
Look Both Ways,"Wanuri Kahiu, Lili Reinhart, Danny Ramirez, Aisha Dee, Jaden Tolliver"
365 Days,"Barbara Bialowas, Tomasz Mandes, Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze"
I Used to Be Famous,"Eddie Sternberg, Ed Skrein, Eleanor Matsuura, Eoin Macken, Leo Long"
Titanic,"James Cameron, Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates"
Sherlock,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
New Girl,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone"
The Expanse,"Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo"
Purple Hearts,"Elizabeth Allen Rosenbaum, Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim"
The Gentlemen,"Guy Ritchie, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
The Good Doctor,"Freddie Highmore, Hill Harper, Richard Schiff, Christina Chang"
Downton Abbey,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle"
Extraordinary Attorney Woo,"Park Eun-bin, Kang Tae-oh, Kang Ki-young, Jeon Bae-soo"
Smallville,"Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk"
Star Trek: The Next Generation,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
Orange Is the New Black,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles"
Jurassic Park,"Steven Spielberg, Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
Prison Break,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper"
Billions,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile"
Once Upon a Time,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle"
Jaws,"Steven Spielberg, Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
The Catholic School,"Stefano Mordini, Benedetta Porcaroli, Giulio Pranno, Emanuele Maria Di Stefano, Giulio Fochetti"
South Park,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
Clueless,"Amy Heckerling, Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
Chesapeake Shores,"Meghan Ory, Barbara Niven, Laci J Mailey, Emilie Ullerup"
Demon Slayer: Kimetsu no Yaiba,"Natsuki Hanae, Zach Aguilar, Abby Trott, Yoshitsugu Matsuoka"
Pretty Little Liars,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell"
Mindhunter,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
"Murder, She Wrote","Angela Lansbury, William Windom, Ron Masak, Louis Herthum"
From,"Scott McCord, Harold Perrineau, Catalina Sandino Moreno, Eion Bailey"
Spiderhead,"Joseph Kosinski, Chris Hemsworth, Miles Teller, Jurnee Smollett, Mark Paguio"
CSI: Crime Scene Investigation,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda"
Evil,"Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson"
Arrested Development,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
Heartland,"Amber Marshall, Shaun Johnston, Michelle Morgan, Chris Potter"
It,"Andy Muschietti, Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
Narcos,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"
Homeland,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend"
The Haunting of Hill House,"Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser"
Doc Martin,"Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom"
Hawaii Five-0,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim"
Star Trek: The Original Series,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols"
The Next 365 Days,"Barbara Bialowas, Tomasz Mandes, Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska"
Don't Look Up,"Adam McKay, Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett"
Murdoch Mysteries,"Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris"
The Good Wife,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry"
Shadow and Bone,"Jessie Mei Li, Ben Barnes, Archie Renaux, Freddy Carter"
Sex/Life,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette"
Gladiator,"Ridley Scott, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
The Punisher,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"
"Roswell, New Mexico","Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles"
Taxi Driver,"Martin Scorsese, Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
Teen Wolf,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby"
Vikings: Valhalla,"Sam Corlett, Leo Suter, Jóhannes Haukur Jóhannesson, Lujza Richter"
New Amsterdam,"Ryan Eggold, Janet Montgomery, Jocko Sims, Tyler Labine"
Léon: The Professional,"Luc Besson, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Arrow,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson"
The Good Nurse,"Tobias Lindholm, Jessica Chastain, Eddie Redmayne, Kim Dickens, Noah Emmerich"
Agents of S.H.I.E.L.D.,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker"
Mother!,"Darren Aronofsky, Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
Hustle,"Jeremiah Zagar, Adam Sandler, Queen Latifah, Juancho Hernangomez, Ben Foster"
365 Days: This Day,"Barbara Bialowas, Tomasz Mandes, Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska"
Cheers,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt"
Line of Duty,"Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson"
Pieces of Her,"Toni Collette, Bella Heathcote, Jessica Barden, Joe Dempsie"
The Departed,"Martin Scorsese, Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Star Wars: The Clone Wars,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor"
Star Trek: Deep Space Nine,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig"
Spider-Man,"Sam Raimi, Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
Santo,"Raúl Arévalo, Bruno Gagliasso, Victoria Guerra, Greta Fernández"
Delhi Crime,"Shefali Shah, Rajesh Tailang, Rasika Dugal, Anurag Arora"
House of Cards,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
American Crime Story,"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi"
Glee,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith"
Brooklyn,"John Crowley, Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent"
The Americans,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor"
Gotham,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova"
Gossip Girl,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick"
Gone Girl,"David Fincher, Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Twin Peaks,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
The Poison Rose,"Francesco Cinquemani, George Gallo, John Travolta, Morgan Freeman, Brendan Fraser, Famke Janssen"
Hannibal,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
Star Trek: Voyager,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill"
NCIS: Los Angeles,"Chris O'Donnell, LL Cool J, Daniela Ruah, Eric Christian Olsen"
Persuasion,"Carrie Cracknell, Richard E. Grant, Henry Golding, Ben Bailey Smith, Yolanda Kettle"
Jogi,"Ali Abbas Zafar, Diljit Dosanjh, Kumud Mishra, Mohd. Zeeshan Ayyub, Hiten Tejwani"
